t = 0, x_hat[0]: 1.04203       0   -9.81
t = 0.0333333, y[0] = 1.04203, x_hat[0] = 1.04203  -0.327   -9.81
t = 0.0666667, y[1] = 1.10727, x_hat[1] =  1.08708 0.185739 -9.80886
t = 0.1, y[2] = 1.29135, x_hat[2] =  1.21726   1.1065 -9.80545
t = 0.133333, y[3] = 1.48485, x_hat[3] =  1.37662  1.70821 -9.79885
t = 0.166667, y[4] = 1.72826, x_hat[4] =  1.56866  2.20488 -9.78506
t = 0.2, y[5] = 1.74216, x_hat[5] =   1.6825  2.08472 -9.77798
t = 0.233333, y[6] = 2.11672, x_hat[6] =   1.8836  2.33911 -9.74143
t = 0.266667, y[7] = 2.14529, x_hat[7] =   2.0217   2.2488 -9.71669
t = 0.3, y[8] = 2.1603, x_hat[8] =  2.11578  1.99214 -9.70565
t = 0.333333, y[9] = 2.21269, x_hat[9] =  2.19069  1.69607 -9.69904
t = 0.366667, y[10] = 2.57709, x_hat[10] =   2.3334  1.63238 -9.61208
t = 0.4, y[11] = 2.66822, x_hat[11] =  2.45705  1.50983 -9.52416
t = 0.433333, y[12] = 2.51642, x_hat[12] =  2.50951   1.1982 -9.52086
t = 0.466667, y[13] = 2.76034, x_hat[13] =  2.59713  1.00888 -9.43237
t = 0.5, y[14] = 2.88132, x_hat[14] =  2.68559 0.839945 -9.31366
t = 0.533333, y[15] = 2.88374, x_hat[15] =  2.74987 0.625611 -9.22392
t = 0.566667, y[16] = 2.94485, x_hat[16] =  2.80713 0.415231 -9.12306
t = 0.6, y[17] = 2.82867, x_hat[17] =  2.82256  0.11541 -9.11823
t = 0.633333, y[18] = 3.00066, x_hat[18] =    2.86204 -0.0909276   -9.00104
t = 0.666667, y[19] = 3.12921, x_hat[19] =     2.914 -0.237813  -8.80868
t = 0.7, y[20] = 2.85836, x_hat[20] =   2.89637 -0.558878  -8.84423
t = 0.733333, y[21] = 2.83808, x_hat[21] =   2.86967 -0.876857  -8.87484
t = 0.766667, y[22] = 2.68975, x_hat[22] =   2.8097 -1.26203 -8.99406
t = 0.8, y[23] = 2.66533, x_hat[23] =  2.74668 -1.62325 -9.07626
t = 0.833333, y[24] = 2.81613, x_hat[24] =  2.71797 -1.85087 -8.97629
t = 0.866667, y[25] = 2.81004, x_hat[25] =    2.688 -2.05625 -8.85203
t = 0.9, y[26] = 2.88322, x_hat[26] =  2.67404 -2.18991 -8.64065
t = 0.933333, y[27] = 2.69789, x_hat[27] =  2.62113 -2.41872 -8.56416
t = 0.966667, y[28] = 2.43422, x_hat[28] =  2.51844 -2.76889  -8.6464
t = 1, y[29] = 2.23465, x_hat[29] =   2.3864 -3.17278 -8.79086
t = 1.03333, y[30] = 2.30279, x_hat[30] =  2.28523 -3.45258 -8.77464
t = 1.06667, y[31] = 2.0207, x_hat[31] =  2.13925 -3.83319 -8.88051
t = 1.1, y[32] = 1.94394, x_hat[32] =  1.99756 -4.16841 -8.92665
t = 1.13333, y[33] = 1.82498, x_hat[33] =  1.85172 -4.48514 -8.94876
t = 1.16667, y[34] = 1.52526, x_hat[34] =  1.66611 -4.88236 -9.06039
t = 1.2, y[35] = 1.86968, x_hat[35] =  1.57765 -4.98385 -8.83891
t = 1.23333, y[36] = 1.18073, x_hat[36] =  1.36503 -5.40203 -8.97247
t = 1.26667, y[37] = 1.1073, x_hat[37] =  1.16943 -5.74174 -9.01545
t = 1.3, y[38] = 0.916168, x_hat[38] = 0.965763 -6.07385 -9.04817
t = 1.33333, y[39] = 0.678548, x_hat[39] = 0.746617 -6.41768 -9.09098
t = 1.36667, y[40] = 0.562382, x_hat[40] =  0.53849 -6.70629 -9.07666
t = 1.4, y[41] = 0.355468, x_hat[41] = 0.322791 -6.98964   -9.058
t = 1.43333, y[42] = -0.155607, x_hat[42] = 0.0427047  -7.40495  -9.16592
t = 1.46667, y[43] = -0.287199, x_hat[43] = -0.219931   -7.7479  -9.20081
t = 1.5, y[44] = -0.602973, x_hat[44] = -0.501726  -8.10938  -9.25087
